R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_landed,B_SIG_STR_landed,R_SIG_STR_pct,B_SIG_STR_pct,R_total_STR_landed,B_total_STR_landed,R_total_STR_pct,B_total_STR_pct,R_TD_landed,B_TD_landed,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL_time_seconds,B_CTRL_time_seconds,R_HEAD_STR_landed,B_HEAD_STR_landed,R_HEAD_STR_pct,B_HEAD_STR_pct,R_BODY_STR_landed,B_BODY_STR_landed,R_BODY_STR_pct,B_BODY_STR_pct,R_LEG_STR_landed,B_LEG_STR_landed,R_LEG_STR_pct,B_LEG_STR_pct,R_DISTANCE_STR_landed,B_DISTANCE_STR_landed,R_DISTANCE_STR_pct,B_DISTANCE_STR_pct,R_CLINCH_STR_landed,B_CLINCH_STR_landed,R_CLINCH_STR_pct,B_CLINCH_STR_pct,R_GND_STR_landed,B_GND_STR_landed,R_GND_STR_pct,B_GND_STR_pct,winner,win_type,finish_type,decision_type,last_round,last_round_time,format,date,title_bout,weight_class
Michal Oleksiejczuk,Marc-Andre Barriault,0,0,140,77,63.0,38.0,143,79,63.56,38.73,1,0,33.0,,0,0,0,0,30,2,91,57,56.52,32.02,39,16,79.59,84.21,10,4,90.91,100.0,138,59,63.3,34.1,1,18,100.0,64.29,1,0,50.0,,red,decision,,unanimous,3,5:00,3,2026-02-07,False,Middleweight
Jean Matsumoto,Farid Basharat,0,0,76,80,34.0,52.0,111,95,42.21,55.23,7,2,63.0,28.0,0,0,0,1,280,143,40,63,24.69,47.73,20,14,68.97,87.5,16,3,55.17,75.0,62,66,31.47,48.53,14,14,60.87,87.5,0,0,,,blue,decision,,split,3,5:00,3,2026-02-07,False,Bantamweight
Dustin Jacoby,Julius Walker,1,0,42,7,59.0,33.0,47,12,59.49,46.15,0,3,,42.0,0,0,0,0,59,167,35,3,54.69,17.65,3,1,100.0,100.0,4,3,100.0,100.0,22,4,57.89,33.33,9,2,90.0,28.57,11,1,47.83,50.0,red,finish,KO/TKO,,2,1:42,3,2026-02-07,False,Light Heavyweight
Alex Morono,Daniil Donchenko,0,1,40,100,27.0,61.0,48,134,31.17,62.62,0,0,,,0,0,0,0,0,140,37,45,26.81,45.45,2,21,28.57,75.0,1,34,100.0,97.14,36,82,26.28,61.19,4,7,44.44,63.64,0,11,,64.71,blue,decision,,unanimous,3,5:00,3,2026-02-07,False,Welterweight
Nikolay Veretennikov,Niko Price,0,0,19,9,63.0,39.0,20,12,64.52,44.44,0,0,,,0,0,0,0,17,0,12,7,54.55,36.84,6,1,85.71,100.0,1,1,100.0,33.33,10,9,47.62,40.91,9,0,100.0,0.0,0,0,,,red,finish,KO/TKO,,1,1:42,3,2026-02-07,False,Welterweight
Bruna Brasil,Ketlen Souza,0,0,31,33,51.0,47.0,65,64,64.36,58.72,1,1,25.0,12.0,0,0,0,0,41,483,10,18,31.25,42.86,17,12,73.91,54.55,4,3,80.0,60.0,25,24,47.17,40.68,6,9,85.71,90.0,0,0,,,blue,decision,,unanimous,3,5:00,3,2026-02-07,False,Women's Strawweight
Javid Basharat,Gianni Vazquez,1,0,59,24,60.0,22.0,85,41,64.39,31.06,3,0,37.0,,0,2,0,1,338,25,33,13,51.56,14.94,13,4,76.47,44.44,13,7,81.25,58.33,44,23,56.41,23.47,1,1,50.0,50.0,14,0,82.35,0.0,red,decision,,unanimous,3,5:00,3,2026-02-07,False,Bantamweight
Wang Cong,Eduarda Moura,1,0,39,12,54.0,35.0,147,40,75.38,57.14,0,3,,25.0,1,1,0,0,191,486,16,12,41.03,36.36,15,0,75.0,0.0,8,0,66.67,,23,11,46.94,37.93,10,1,71.43,33.33,6,0,75.0,0.0,red,decision,,unanimous,3,5:00,3,2026-02-07,False,Catchweight
Muin Gafurov,Jakub Wiklacz,0,0,79,56,50.0,37.0,92,97,52.87,50.26,2,0,40.0,,0,2,0,2,104,273,43,23,39.09,25.84,34,32,79.07,57.14,2,1,40.0,33.33,68,44,47.22,33.08,11,7,78.57,77.78,0,5,,83.33,blue,finish,SUB,,3,4:59,3,2026-02-07,False,Bantamweight
Klaudia Sygula,Priscila Cachoeira,0,0,151,99,45.0,45.0,159,102,45.56,45.95,0,1,0.0,50.0,0,0,0,0,0,16,121,72,42.01,38.3,24,8,60.0,72.73,6,19,85.71,95.0,150,99,45.18,45.83,1,0,33.33,0.0,0,0,,0.0,red,decision,,unanimous,3,5:00,3,2026-02-07,False,Women's Bantamweight
Alexander Volkanovski,Diego Lopes,0,0,98,70,61.0,44.0,112,74,62.92,45.68,2,2,28.0,40.0,1,0,0,0,169,110,72,33,61.02,33.67,3,17,50.0,51.52,23,20,63.89,74.07,88,66,59.06,43.42,3,3,75.0,75.0,7,1,100.0,50.0,red,decision,,unanimous,5,5:00,5,2026-01-31,True,Featherweight
Dan Hooker,Benoit Saint Denis,0,0,30,97,63.0,76.0,51,170,75.0,82.93,0,2,0.0,22.0,2,2,0,0,28,374,19,83,59.38,73.45,8,14,66.67,100.0,3,0,100.0,,28,20,63.64,62.5,2,10,66.67,90.91,0,67,,79.76,blue,finish,KO/TKO,,2,4:45,3,2026-01-31,False,Lightweight
Rafael Fiziev,Mauricio Ruffy,0,1,36,55,54.0,62.0,37,60,55.22,64.52,0,0,0.0,,0,0,0,0,0,45,9,45,29.03,58.44,15,4,78.95,100.0,12,6,75.0,85.71,34,42,53.12,63.64,2,1,100.0,50.0,0,12,,60.0,blue,finish,KO/TKO,,2,4:30,3,2026-01-31,False,Lightweight
Tai Tuivasa,Tallison Teixeira,0,0,42,51,72.0,68.0,56,117,75.68,81.25,0,3,,33.0,0,0,0,0,238,420,21,39,58.33,65.0,10,10,100.0,90.91,11,2,91.67,66.67,27,26,77.14,55.32,11,4,64.71,100.0,4,21,66.67,91.3,blue,decision,,unanimous,3,5:00,3,2026-01-31,False,Heavyweight
Quillan Salkilld,Jamie Mullarkey,0,0,5,1,62.0,25.0,18,6,85.71,66.67,2,1,66.0,100.0,1,0,0,0,39,74,1,1,50.0,25.0,1,0,50.0,,3,0,75.0,,3,0,60.0,0.0,2,1,66.67,100.0,0,0,,,red,finish,SUB,,1,3:02,3,2026-01-31,False,Lightweight
Junior Tafa,Billy Elekana,1,0,38,24,54.0,47.0,38,27,54.29,50.0,0,1,,20.0,0,1,0,0,7,100,21,20,42.86,44.44,14,3,77.78,60.0,3,1,100.0,100.0,37,22,56.06,44.9,0,1,0.0,100.0,1,1,100.0,100.0,blue,finish,SUB,,2,3:18,3,2026-01-31,False,Light Heavyweight
Cam Rowston,Cody Brundage,0,0,57,29,47.0,44.0,73,31,52.52,46.27,0,0,,0.0,0,0,0,0,124,19,41,22,42.71,37.93,7,1,53.85,100.0,9,6,90.0,100.0,32,27,45.71,44.26,6,2,75.0,50.0,19,0,46.34,,red,finish,KO/TKO,,2,4:08,3,2026-01-31,False,Middleweight
Jacob Malkoun,Torrez Finney,1,0,117,27,64.0,35.0,151,42,68.95,44.21,2,0,25.0,0.0,3,0,0,0,316,20,115,25,64.25,34.25,2,2,100.0,50.0,0,0,,,97,25,63.4,33.78,4,2,80.0,66.67,16,0,69.57,,red,decision,,unanimous,3,5:00,3,2026-01-31,False,Middleweight
